Year,Avg,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.17416666666666666,-0.19,-0.25,-0.09,-0.17,-0.1,-0.21,-0.18,-0.11,-0.15,-0.24,-0.22,-0.18
1881,-0.09166666666666667,-0.2,-0.15,0.03,0.05,0.05,-0.19,0.0,-0.04,-0.16,-0.22,-0.19,-0.08
1882,-0.11333333333333333,0.16,0.13,0.04,-0.16,-0.14,-0.22,-0.17,-0.08,-0.15,-0.24,-0.17,-0.36
1883,-0.1808333333333333,-0.3,-0.37,-0.13,-0.19,-0.18,-0.08,-0.08,-0.14,-0.23,-0.12,-0.24,-0.11
1884,-0.2875,-0.13,-0.09,-0.37,-0.4,-0.34,-0.35,-0.31,-0.28,-0.28,-0.25,-0.34,-0.31
1885,-0.3375000000000001,-0.59,-0.34,-0.27,-0.42,-0.45,-0.44,-0.34,-0.32,-0.29,-0.24,-0.24,-0.11
1886,-0.3166666666666667,-0.44,-0.51,-0.43,-0.28,-0.24,-0.35,-0.18,-0.31,-0.24,-0.28,-0.28,-0.26
1887,-0.3666666666666667,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-0.26,-0.36,-0.27,-0.33
1888,-0.17416666666666672,-0.34,-0.36,-0.41,-0.2,-0.22,-0.17,-0.11,-0.16,-0.12,0.01,0.03,-0.04
1889,-0.10583333333333333,-0.09,0.16,0.06,0.1,-0.01,-0.1,-0.08,-0.2,-0.24,-0.25,-0.33,-0.29
1890,-0.35333333333333333,-0.42,-0.45,-0.4,-0.3,-0.39,-0.25,-0.28,-0.39,-0.37,-0.25,-0.43,-0.31
1891,-0.22250000000000003,-0.33,-0.47,-0.18,-0.27,-0.16,-0.2,-0.17,-0.17,-0.15,-0.22,-0.31,-0.04
1892,-0.2725,-0.29,-0.11,-0.4,-0.33,-0.23,-0.22,-0.31,-0.27,-0.17,-0.14,-0.42,-0.38
1893,-0.315,-0.81,-0.57,-0.22,-0.27,-0.33,-0.25,-0.14,-0.25,-0.22,-0.19,-0.19,-0.34
1894,-0.3141666666666667,-0.53,-0.31,-0.23,-0.45,-0.32,-0.41,-0.25,-0.25,-0.29,-0.24,-0.27,-0.22
1895,-0.23333333333333336,-0.43,-0.43,-0.34,-0.22,-0.28,-0.21,-0.18,-0.18,-0.12,-0.1,-0.17,-0.14
1896,-0.11166666666666668,-0.22,-0.12,-0.26,-0.3,-0.16,-0.11,-0.03,-0.05,-0.07,0.06,-0.04,-0.04
1897,-0.10499999999999998,-0.15,-0.16,-0.13,-0.02,-0.01,-0.11,-0.02,-0.09,-0.08,-0.12,-0.17,-0.2
1898,-0.2733333333333333,-0.02,-0.3,-0.51,-0.3,-0.3,-0.19,-0.23,-0.27,-0.21,-0.34,-0.38,-0.23
1899,-0.18083333333333332,-0.17,-0.39,-0.37,-0.21,-0.24,-0.32,-0.17,-0.08,-0.05,-0.04,0.13,-0.26
1900,-0.07916666666666668,-0.36,-0.05,0.01,-0.08,-0.09,-0.09,-0.13,-0.09,-0.05,0.1,-0.06,-0.06
1901,-0.155,-0.21,-0.11,0.06,-0.03,-0.15,-0.11,-0.14,-0.2,-0.22,-0.29,-0.18,-0.28
1902,-0.2775,-0.18,-0.06,-0.27,-0.28,-0.32,-0.3,-0.28,-0.3,-0.29,-0.29,-0.35,-0.41
1903,-0.36833333333333335,-0.23,-0.05,-0.22,-0.4,-0.39,-0.42,-0.35,-0.45,-0.49,-0.48,-0.43,-0.51
1904,-0.47083333333333327,-0.64,-0.58,-0.48,-0.5,-0.52,-0.48,-0.51,-0.49,-0.56,-0.39,-0.17,-0.33
1905,-0.2633333333333333,-0.35,-0.59,-0.22,-0.33,-0.29,-0.28,-0.26,-0.2,-0.19,-0.25,-0.07,-0.13
1906,-0.225,-0.28,-0.29,-0.18,-0.05,-0.26,-0.2,-0.23,-0.2,-0.28,-0.2,-0.38,-0.15
1907,-0.385,-0.43,-0.51,-0.27,-0.37,-0.46,-0.42,-0.35,-0.33,-0.34,-0.22,-0.46,-0.46
1908,-0.425,-0.44,-0.33,-0.55,-0.44,-0.37,-0.38,-0.34,-0.46,-0.35,-0.43,-0.52,-0.49
1909,-0.4833333333333332,-0.72,-0.46,-0.54,-0.58,-0.54,-0.52,-0.45,-0.33,-0.39,-0.39,-0.32,-0.56
1910,-0.43166666666666664,-0.42,-0.4,-0.5,-0.42,-0.33,-0.38,-0.34,-0.36,-0.39,-0.41,-0.55,-0.68
1911,-0.445,-0.63,-0.58,-0.62,-0.54,-0.51,-0.5,-0.41,-0.44,-0.41,-0.27,-0.21,-0.22
1912,-0.3675,-0.27,-0.16,-0.39,-0.18,-0.22,-0.24,-0.42,-0.55,-0.58,-0.58,-0.39,-0.43
